"filename", "language", "Markdown", "JSON", "Shell Script", "Rust", "Properties", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\routers\auth.rs", "Rust", 0, 0, 0, 55, 0, 25, 21, 101
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\routers\event.rs", "Rust", 0, 0, 0, 79, 0, 25, 22, 126
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\routers\game.rs", "Rust", 0, 0, 0, 73, 0, 25, 21, 119
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\runtime\README.md", "Markdown", 4, 0, 0, 0, 0, 0, 9, 13
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\runtime\build.sh", "Shell Script", 0, 0, 10, 0, 0, 1, 1, 12
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\runtime\constants.rs", "Rust", 0, 0, 0, 1, 0, 0, 10, 11
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\runtime\lib.rs", "Rust", 0, 0, 0, 93, 0, 27, 69, 189
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\schemas.rs", "Rust", 0, 0, 0, 4, 0, 3, 10, 17
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\schemas\auth.rs", "Rust", 0, 0, 0, 199, 0, 165, 72, 436
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\schemas\event.rs", "Rust", 0, 0, 0, 258, 0, 137, 76, 471
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\schemas\game.rs", "Rust", 0, 0, 0, 260, 0, 256, 93, 609
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\schemas\nft.rs", "Rust", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\_ayoub\PaaS\src\utils.rs", "Rust", 0, 0, 0, 323, 0, 241, 237, 801
"c:\Users\lenovo\Desktop\_ayoub\README.md", "Markdown", 19, 0, 0, 0, 0, 0, 20, 39
"c:\Users\lenovo\Desktop\_ayoub\_backups\README.md", "Markdown", 16, 0, 0, 0, 0, 0, 10, 26
"c:\Users\lenovo\Desktop\_ayoub\_backups\cmd.sh", "Shell Script", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\_ayoub\_backups\collections\roles.json", "JSON", 0, 88, 0, 0, 0, 0, 1, 89
"c:\Users\lenovo\Desktop\_ayoub\_backups\collections\sides.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\lenovo\Desktop\_ayoub\_backups\conf\README.md", "Markdown", 20, 0, 0, 0, 0, 0, 14, 34
"c:\Users\lenovo\Desktop\_ayoub\ayoub.sh", "Shell Script", 0, 0, 6, 0, 0, 14, 13, 33
